Widzę	l|s|s|s|r_ieć
Wyszyński	s|s|s|s|s|s|s|s|s
zwyciężyli	s|s|s|s|s|s|s|s|r_ć|d
.	s

-	s
Słyszał	l|s|s|s|s|r_e|r_ć
em	r_by|r_ć
kiedyś	s|s|s|s|s|s
,	s
Aniołek	l|s|s|s|s|s|s
tu	s|s
lubiał	s|s|s|s|r_ć|d
śpiewać	s|s|s|s|s|s|s
,	s
ale	s|s|s
nie	s|s|s
pamiętam	s|s|s|s|s|s|s|r_ć
detalicznie	s|s|s|s|s|s|s|s|s|s|s
.	s

Komisja	l|s|s|s|s|s|s
wnosi	s|s|s|s|s|r_ć
o	s
jego	r_o|r_n|d|d
odrzucenie	s|s|s|s|s|s|d|d|s|r_ć
.	s

Chyba	l|s|s|s|s
zasnął	s|s|s|s|s|r_ć
em	r_by|r_ć
i	s
chyba	s|s|s|s|s
mi	r_j|r_a
się	s|s|s
śniła	s|s|s|r_ć|d
.	s

-	s
Panie	l|s|s|d|d
pośle	s|s|r_s|r_e|r_ł
,	s
odbieram	s|s|s|s|s|s|s|r_ć
panu	s|s|s|d
głos	s|s|s|s
.	s

-	s
Kiedy	l|s|s|s|s
otwiera	s|s|s|s|s|s|s|r_ć
pan	s|s|s
sklep	s|s|s|s|s
?	s

Opiekę	l|s|s|s|s|r_a
sprawuje	s|s|s|s|s|r_ow|r_a|r_ć
opiekun	s|s|s|s|s|s|s
.	s

Nie	l|s|s
może	s|r_ó|r_c|d
mówić	s|s|s|s|s
.	s

Prezes	l|s|s|s|s|s
Bogdan	s|s|s|s|s|s
Kościuczyk	s|s|s|s|s|s|s|s|s|s
odesłał	s|s|s|s|s|s|r_ć
nas	r_m|r_y|d
do	s|s
dyrektor	s|s|s|s|s|s|s|s
Anieli	s|s|s|s|s|r_a
Kotowicz	s|s|s|s|s|s|s|s
.	s

-	s
Do	l|s
głosowania	s|s|s|s|s|s|s|r_ć|d|d
nad	s|s|s
uchwałą	s|s|s|s|s|s|r_a
Senatu	l|s|s|s|s|d
przystąpimy	s|s|s|s|s|s|s|s|s|r_ć|d
jutro	s|s|s|s|s
rano	s|s|s|s
.	s

Był	l|s|r_ć
by	s|s
upadł	s|s|s|r_ś|r_ć
.	s

Zbankrutować	l|s|s|s|s|s|s|s|s|s|s|s
będzie	s|r_y|r_ć|d|d|d
można	s|s|s|s|s
tylko	s|s|s|s|s
raz	s|s|s
.	s

Przedtem	l|s|s|s|s|s|s|s
nie	s|s|s
mówiło	s|s|s|s|r_ć|d
się	s|s|s
o	s
nim	i_o|d|d
,	s
bo	s|s
żył	s|s|r_ć
.	s

–	s
a	s
dokładnie	s|s|s|s|s|s|s|s|s
podawała	s|s|s|s|s|s|r_ć|d
mi	r_j|r_a
.	s

Listę	l|s|s|s|r_a
tę	s|r_en
prezydent	s|s|s|s|s|s|s|s|s
Stanów	s|s|s|s|r_y|d
Zjednoczonych	s|s|s|s|s|s|s|s|s|s|s|d|d
przekazał	s|s|s|s|s|s|s|s|r_ć
w	s
poniedziałek	s|s|s|s|s|s|s|s|s|s|s|s
innym	s|s|s|s|d
państwom	s|s|s|s|s|s|s|d
.	s

-	s
Jak	l|s|s
to	s|s
lekarz	s|s|s|s|s|s
tłumaczy	s|s|s|s|s|s|s|s|r_ć
?	s

Drużynki	l|s|s|s|s|s|s|r_a
jako	s|s|s|s
takie	s|s|s|s|d
występują	s|s|s|s|s|s|r_ow|r_a|r_ć
na	s|s
szkółkach	s|s|s|s|s|s|s|d|d
.	s

Natomiast	l|s|s|s|s|s|s|s|s
Gorczyca	s|s|s|s|s|s|s|s
pominął	s|s|s|s|s|s|r_ć
w	s
ogóle	s|s|s|r_ł|d
sprawę	s|s|s|s|s|r_a
milczeniem	s|s|s|s|s|s|s|s|s|d
.	s

Nikt	l|s|s|s
już	s|s|s
po	s|s
nim	i_o|d|d
nie	s|s|s
popełni	s|s|s|s|s|s|s|r_ć
takiego	s|s|s|s|d|d|d
błędu	s|s|r_ą|s|d
.	s

-	s
Polak	s|s|s|s|s
potrafi	s|s|s|s|s|s|s|r_ć
.	s

Zdaniem	l|s|s|s|s|s|d
Kwaśniewskiego	s|s|s|s|s|s|s|s|s|s|s|d|d|d
jest	r_b|r_y|r_ć|d
to	s|s
wystarczająca	s|s|s|s|s|s|s|s|s|s|s|s|r_y
kara	s|s|s|s
i	s
Siwiec	s|s|s|s|s|s
nie	s|s|s
musi	s|s|s|s|r_eć
ustępować	s|s|s|s|s|s|s|s|s
ze	s|d
stanowiska	s|s|s|s|s|s|s|s|s|r_o
.	s

–	s
a	s
nie	s|s|s
zaczął	s|s|s|s|s|r_ć
się	s|s|s
wtedy	s|s|s|s|s
ten	s|s|s
proces	s|s|s|s|s|s
?	s

Jakie	l|s|s|s|d
jest	r_b|r_y|r_ć|d
to	s|r_en
życie	s|s|s|s|s
?	s

Takoż	l|s|s|s|s
mocno	s|s|s|s|s
rozgrzewa	s|s|s|s|s|s|s|s|s|r_ć
.	s

Oczywiście	l|s|s|s|s|s|s|s|s|s
,	s
nie	s|s|s
znaczy	s|s|s|s|s|s|r_ć
to	s|s
,	s
że	s|s
tolerancja	s|s|s|s|s|s|s|s|s|s
równa	s|s|s|s|s|r_ć
się	s|s|s
bezczynnej	s|s|s|s|s|s|s|s|r_y|d
akceptacji	s|s|s|s|s|s|s|s|s|r_a
.	s

Może	l|s|s|s
jednak	s|s|s|s|s|s
istnieje	s|s|s|s|s|s|r_ć|d
jeszcze	s|s|s|s|s|s|s
inne	s|s|s|r_y
wytłumaczenie	s|s|s|s|s|s|s|s|s|s|s|s|s
?	s

Nie	l|s|s
poruszyła	s|s|s|s|s|s|s|r_ć|d
m	r_być
się	s|s|s
.	s

Rozumiała	l|s|s|s|s|s|r_e|r_ć|d
go	r_o|r_n
i	s
bardzo	s|s|s|s|s|s
mu	r_o|r_n
współczuła	s|s|s|s|s|s|s|s|r_ć|d
.	s

Przecież	l|s|s|s|s|s|s|s
nie	s|s|s
mogł	s|r_ó|r_c|d
em	r_by|r_ć
liczyć	s|s|s|s|s|s
na	s|s
więcej	s|s|s|s|s|s
.	s

Uznanie	l|s|s|s|r_ć|d|d
rzeczywistości	s|s|s|s|s|s|s|s|s|s|s|s|r_ć|d
widzenia	s|s|s|s|s|s|s|r_e
oznacza	s|s|s|s|s|s|s|r_ć
tu	s|s
również	s|s|s|s|s|s|s
respekt	s|s|s|s|s|s|s
dla	s|s|s
tajemnicy	s|s|s|s|s|s|s|s|r_a
.	s

Zwierzenia	l|s|s|s|s|s|s|s|s|r_e
Ani	s|s|s|r_a
poruszyły	s|s|s|s|s|s|s|r_ć|d
mnie	r_j|r_a|d|d
do	s|s
głębi	s|s|r_ą|s|d
.	s

Skąd	l|s|s|s
biorą	s|r_r|r_a|r_ć|d
się	s|s|s
płacowe	s|s|s|s|s|s|r_y
kominy	s|s|s|s|s|d
?	s

Widzi	l|s|s|s|s|r_eć
mi	r_j|r_a
się	s|s|s
.	s
.	s
.	s

JANUSZOWI	s|l|l|l|l|l|d|d|d
PANASEWICZOWI	s|l|l|l|l|l|l|l|l|l|d|d|d
nawet	s|s|s|s|s
retusz	s|s|s|s|s|s
nie	s|s|s
pomoże	s|s|s|r_ó|r_c|d
.	s

Konsekwentna	l|s|s|s|s|s|s|s|s|s|s|r_y
postawa	s|s|s|s|s|s|s
dała	s|s|r_ć|d
wyniki	s|s|s|s|s|d
.	s

-	s
Ale	l|s|s
wiele	s|s|s|s|s
zależy	s|s|s|s|s|r_eć
też	s|s|s
od	s|s
ich	r_o|r_n|d
aktywności	s|s|s|s|s|s|s|s|r_ć|d
.	s

-	s
Tylko	l|s|s|s|s
uczciwi	s|s|s|s|s|s|r_y
śpią	r_s|s|r_a|r_ć
twardo	s|s|s|s|s|s
.	s

tam	s|s|s
są	r_by|r_ć
różne	s|s|s|s|r_y
różki	s|r_o|s|i_e|d
.	s

-	s
Czy	l|s|s
świadomie	s|s|s|s|s|s|s|s|s
wybrała	s|s|s|s|s|r_ć|d
pani	s|s|s|s
rzeźbę	s|s|s|s|s|r_a
,	s
przecież	s|s|s|s|s|s|s|s
to	s|s
taki	s|s|s|s
niekobiecy	s|s|s|s|s|s|s|s|s|s
zawód	s|s|s|s|s
?	s

Powiem	l|s|s|s|s|r_dzieć
,	s
co	s|s
mnie	r_j|r_a|d|d
pcha	s|s|s|s|r_ć
do	s|s
głosowania	s|s|s|s|s|s|s|r_ć|d|d
za	s|s
Unią	l|s|s|r_a
.	s

Ten	l|s|s
z	s
twarzą	s|s|s|s|s|d
dobroduszną	s|s|s|s|s|s|s|s|s|s|r_y
opuścił	s|s|s|s|s|s|r_ć
głowę	s|s|s|s|r_a
na	s|s
piersi	s|s|s|s|r_ś|d
.	s

Sprzedawał	l|s|s|s|s|s|s|s|s|r_ć
wapno	s|s|s|s|s
,	s
węgiel	s|s|s|s|s|s
,	s
cement	s|s|s|s|s|s
.	s

Nie	l|s|s
urodził	s|s|s|s|s|s|r_ć
em	r_by|r_ć
się	s|s|s
wczoraj	s|s|s|s|s|s|s
.	s

Jakie	l|s|s|s|d
są	r_by|r_ć
choroby	s|s|s|s|s|s|r_a
zawodowe	s|s|s|s|s|s|s|r_y
?	s

A	l
ja	s|s
odpowiedział	s|s|s|s|s|s|s|s|s|s|r_e|r_ć
em	r_by|r_ć
Tobie	l|r_y|d|d|d
.	s

Smutno	l|s|s|s|s|s
będzie	s|r_y|r_ć|d|d|d
porzucić	s|s|s|s|s|s|s|s
starą	s|s|s|s|r_y
budę	s|s|s|r_a
.	s

W	l
sklepach	s|s|s|s|s|d|d|d
pojawiają	s|s|s|s|s|s|s|r_ć|d
się	s|s|s
dekoracje	s|s|s|s|s|s|s|s|r_a
.	s

Nie	l|s|s
wyczuł	s|s|s|s|s|r_ć
em	r_by|r_ć
kpiny	s|s|s|s|r_a
w	s
jej	r_o|r_n|d
głosie	s|s|s|s|d|d
,	s
choć	s|s|s|s
należało	s|s|s|s|s|r_e|r_ć|d
być	s|s|s
ostrożnym	s|s|s|s|s|s|s|s|d
.	s

Podano	l|s|s|s|r_ć|d
do	s|s
stołu	s|s|r_ó|s|d
.	s

Podzielcie	l|s|s|s|s|s|s|d|s|r_ć
się	s|s|s
z	s
nami	d|d|s|r_y
swoimi	s|s|r_ó|r_j|d|d
smutkami	s|s|s|s|i_e|d|d|d
i	s
radościami	s|s|s|s|s|r_ć|d|d|d|d
.	s

Mamy	l|r_i|r_e|r_ć
urodziny	s|s|s|s|s|s|s|s
.	s

Darmosz	s|s|s|s|s|s|s
wymknął	s|s|s|s|s|s|r_ć
się	s|s|s
za	s|s
nimi	i_o|d|d|d
.	s

Z	l
najsłabszego	d|d|d|s|s|s|s|r_y|d|d|d|d
wiersza	s|s|s|s|s|s|d
wyłania	s|s|s|s|s|s|s|r_ć
się	s|s|s
zawsze	s|s|s|s|s|s
jakiś	s|s|s|s|s
obraz	s|s|s|s|s
.	s

-	s
Marysette	s|s|s|s|s|s|s|s|s
umilkła	s|s|s|s|s|r_ną|r_ć
.	s

Spadł	l|s|s|r_ś|r_ć
deszcz	s|s|s|s|s|s
wiosenny	s|s|s|s|s|s|s|s
.	s

Mister	l|s|s|s|s|s
O'Goreck	s|s|s|s|s|s|s|s
musiał	s|s|s|s|r_e|r_ć
się	s|s|s
z	s
nią	i_o|d|d
zgodzić	s|s|s|s|s|s|s
.	s

A	l
Zakopane	s|s|s|s|s|s|s|s
było	s|s|r_ć|d
zapyziałe	s|s|s|s|s|s|s|s|r_y
.	s

Tak	l|s|s
wychodzi	s|s|s|s|s|s|s|s|r_ć
z	s
obliczeń	s|s|s|s|s|s|s|r_nie
.	s

Zakręciła	l|s|s|s|s|s|s|r_ć|d
się	s|s|s
,	s
jakby	s|s|s|s|s
czegoś	s|d|d|d|s|s
szukała	s|s|s|s|s|r_ć|d
w	s
pokoju	s|s|s|r_ó|s|d
.	s

–	s
Chociaż	l|s|s|s|s|s|s
muszę	s|s|s|r_ie|r_ć
przyznać	s|s|s|s|s|s|s|s
,	s
że	s|s
rozbraja	s|s|s|s|s|s|s|s|r_ć
mnie	r_j|r_a|d|d
jego	r_o|r_n|d|d
nieprawdopodobna	s|s|s|s|s|s|s|s|s|s|s|s|s|s|s|r_y
uroda	s|s|s|s|s
.	s

-	s
Proszę	l|s|s|s|r_i|r_ć
o	s
zajęcie	s|s|s|r_ą|r_ć|d|d
miejsc	s|s|s|s|s|s|r_e
.	s

Z	l
ogromną	s|s|s|s|s|s|r_y
prędkością	s|s|s|s|s|s|s|r_ć|d|d
przejechały	s|s|s|s|s|s|s|s|s|r_ć|d
przez	s|s|s|s|s
nie	i_o|d|d
dwa	s|s|s
samochody	s|s|s|s|s|s|r_ó|s|d
osobowe	s|s|s|s|s|s|r_y
.	s

W	l
pomieszczeniu	s|s|s|s|s|s|s|s|s|s|s|s|r_e
tym	s|r_e|r_n
będzie	s|r_y|r_ć|d|d|d
mogło	s|r_ó|r_c|d|d
korzystać	s|s|s|s|s|s|s|s|s
z	s
noclegów	s|s|s|s|s|s|d|d
czterdziestu	s|s|s|s|s|s|s|s|s|r_ś|r_c|r_i
turystów	s|s|s|s|s|s|r_a|d
.	s

Coś	l|s|s
zachrzęściło	s|s|s|s|s|s|s|s|s|s|r_ć|d
na	s|s
poduszce	s|s|s|s|s|s|r_k|r_a
,	s
ale	s|s|s
poruszył	s|s|s|s|s|s|s|r_ć
się	s|s|s
.	s

Przystępujemy	l|s|s|s|s|s|s|s|r_o|r_w|r_a|r_ć|d
do	s|s
głosowania	s|s|s|s|s|s|s|r_ć|d|d
.	s

Chodzę	l|s|s|s|s|r_ić
,	s
chodzę	s|s|s|s|s|r_ić
.	s

Rezygnują	l|s|s|s|s|s|r_ow|r_a|r_ć
ze	s|d
swego	s|s|r_ó|r_j|d
zawodu	s|s|s|r_ó|s|d
i	s
idą	s|r_ś|r_ć
do	s|s
Chrystusa	s|s|s|s|s|s|s|s|d
.	s

Nie	l|s|s
akceptuje	s|s|s|s|s|s|r_ow|r_a|r_ć
homoseksualizmu	s|s|s|s|s|s|s|s|s|s|s|s|s|s|d
.	s

Policjanci	l|s|s|s|s|s|s|s|r_t|d
odpowiedzieli	s|s|s|s|s|s|s|s|s|s|s|r_ć|d
strzałami	s|s|s|s|s|s|d|d|d
.	s

Daniel	s|s|s|s|s|s
także	s|s|s|s|s
milczał	s|s|s|s|s|r_e|r_ć
,	s
lekko	s|s|s|s|s
zniecierpliwiony	s|s|s|s|s|s|s|s|s|s|s|s|s|s|s|s
.	s

-	s
Może	l|s|s|s
razem	s|s|s|s|s
jechać	s|s|s|s|s|s
,	s
weźmiemy	s|r_z|d|d|s|r_ą|r_ć|d
motor	s|s|s|s|s
?	s

Nie	l|s|s
powiedziała	s|s|s|s|s|s|s|s|r_e|r_ć|d
mi	r_j|r_a
o	s
tym	s|r_o|d
,	s
ale	s|s|s
która	s|s|s|s|r_y
z	s
nich	i_o|d|d|d
chce	s|s|s|i_i|r_ć
się	s|s|s
do	s|s
tego	s|d|d|s
przyznać	s|s|s|s|s|s|s|s
?	s

Wraz	l|s|s|s
z	s
kadrą	s|s|s|s|r_a
wyjadą	s|s|s|i_ech|r_ć|d
Daria	s|s|s|s|s
Kasperska	s|s|s|s|s|s|s|s|s
,	s
Paulina	s|s|s|s|s|s|s
Rytwińska	s|s|s|s|s|s|s|s|s
i	s
Agnieszka	s|s|s|s|s|s|s|s|s
Karcz	s|s|s|s|s
.	s

Zawieźli	l|s|s|s|s|s|r_ć|d
ją	r_o|r_n
do	s|s
Akademii	l|s|s|s|s|s|s|r_a
.	s

–	s
ale	s|s|s
nie	s|s|s
proponowali	s|s|s|s|s|s|s|s|s|r_ć|d
mu	r_o|r_n
?	s

Pozwala	l|s|s|s|s|s|s|r_ć
uciekać	s|s|s|s|s|s|s
.	s

Do	l|s
kas	s|s|s|r_a
przyszli	s|s|s|s|r_j|r_ś|r_ć|d
w	s
sobotę	s|s|s|s|s|r_a
wszyscy	s|s|s|s|s|s|s
.	s

Czuł	l|s|s|r_ć
się	s|s|s
słaby	s|s|s|s|s
i	s
nędzny	s|s|s|s|s|s
.	s

Kudłatemu	s|s|s|s|s|s|r_y|d|d
znowu	s|s|s|s|s
coś	s|s|s
popieprzyło	s|s|s|s|s|s|s|s|s|r_ć|d
się	s|s|s
w	s
obliczeniach	s|s|s|s|s|s|s|s|s|r_e|d|d
finansowych	s|s|s|s|s|s|s|s|s|d|d
.	s

-	s
Nic	l|s|s
ci	r_t|r_y
nie	s|s|s
zrobi	s|s|s|s|s|r_ć
,	s
znam	s|s|s|r_ć
go	r_o|r_n
.	s

Po	l|s
kątach	s|s|s|d|d|d
ciemniał	s|s|s|s|s|s|r_e|r_ć
półmrok	s|s|s|s|s|s|s
.	s

Może	l|s|s|s
ktoś	s|s|s|s
z	s
was	s|r_y|d
zetknął	s|s|s|s|s|s|r_ć
się	s|s|s
osobiście	s|s|s|s|s|s|s|s|s
z	s
jakąś	s|s|s|r_i|s
sektą	s|s|s|s|r_a
.	s

Wkrótce	l|s|s|s|s|s|s
okazało	s|s|s|s|s|r_ć|d
się	s|s|s
,	s
że	s|s
ma	s|r_ieć
szansę	s|s|s|s|s|r_a
na	s|s
awans	s|s|s|s|s
.	s

Zakrywam	l|s|s|s|s|s|s|r_ć
togą	s|s|s|r_a
twarz	s|s|s|s|s
,	s
aby	s|s|s
ukryć	s|s|s|s|s
cierpienie	s|s|s|s|s|s|s|s|s|s
,	s
ale	s|s|s
nie	s|s|s
umieram	s|s|s|s|s|s|r_ć
.	s

W	l
zeszłym	s|s|s|s|s|s|d
tygodniu	s|s|d|d|s|r_z|s|r_eń
wyprowadzili	s|s|s|s|s|s|s|s|s|s|r_ć|d
się	s|s|s
.	s

Jestem	r_b|r_y|r_ć|d|d|d
tu	s|s
pierwszy	s|s|s|s|s|s|s|s
raz	s|s|s
.	s

Browar	l|s|s|s|s|s
żywiecki	s|s|s|s|s|s|s|s
,	s
książęcy	s|s|s|s|s|s|s|s
,	s
ma	s|r_ieć
ponad	s|s|s|s|s
sto	s|s|s
lat	r_r|r_o|r_k
.	s

-	s
Nie	l|s|s
zabierał	s|s|s|s|s|s|s|r_ć
by	s|s
m	r_być
,	s
pani	s|s|s|s
marszałek	s|s|s|s|s|s|s|s|s
,	s
głosu	s|s|s|s|d
,	s
gdyby	s|s|s|s|s
m	r_być
wiedział	s|s|s|s|s|s|r_e|r_ć
,	s
że	s|s
mam	s|r_ie|r_ć
trzy	s|s|s|s
minuty	s|s|s|s|s|r_a
.	s

Zapach	l|s|s|s|s|s
kawy	s|s|s|r_a
przeważał	s|s|s|s|s|s|s|s|r_ć
nad	s|s|s
odorem	s|s|r_ó|s|d|d
spalonego	s|s|s|s|r_i|r_ć|d|d|d
tłuszczu	s|s|s|s|s|s|s|d
z	s
kuchni	s|s|s|s|s|s|r_a
i	s
chloraminy	s|s|s|s|s|s|s|s|s|r_a
z	s
toalet	s|s|s|s|s|s|r_a
.	s

Wypatrzył	l|s|s|s|s|s|s|s|r_ć
ją	r_o|r_n
wśród	s|s|s|s|s
wielu	s|s|s|s|r_e
dziewczyn	s|s|s|s|s|s|s|s|s|r_a
.	s

Czasem	l|s|s|s|d|d
wraca	s|s|s|s|s|r_ć
jakieś	s|s|s|s|d|s
niezłe	s|s|s|s|s|r_y
szyderstwo	s|s|s|s|s|s|s|s|s|s
Wojtasa	s|s|s|s|s|s|d
.	s

Dosyć	l|s|s|s|s
przeżył	s|s|s|s|s|s|r_ć
.	s

Pan	l|s|s
Sapieha	s|s|s|s|s|s|s
tego	s|d|d|s
nie	s|s|s
zauważył	s|s|s|s|s|s|s|r_ć
,	s
czując	s|s|s|r_ć|d|d
się	s|s|s
w	s
kręgu	s|s|r_ą|s|d
jasności	s|s|s|s|s|s|r_ć|d
.	s

Nie	l|s|s
dało	s|s|r_ć|d
się	s|s|s
!	s

Wszystko	l|s|s|s|s|s|s|s
idzie	s|r_ś|r_ć|d|d
ku	s|s
lepszemu	r_d|r_o|r_b|r_r|r_y|d|d|d
.	s

Ojca	l|s|s|r_iec
wywalili	s|s|s|s|s|s|r_ć|d
.	s

Czy	l|s|s
ty	s|s
kogokolwiek	s|r_t|d|s|s|s|s|s|s|s|s
naprawdę	s|s|s|s|s|s|s|s
kochał	s|s|s|s|s|r_ć
eś	r_by|r_ć
?	s

Wtedy	l|s|s|s|s
właściwe	s|s|s|s|s|s|s|r_y
zachowania	s|s|s|s|s|s|s|s|s|r_e
podpowiada	s|s|s|s|s|s|s|s|s|s|r_ć
mi	r_j|r_a
instynkt	s|s|s|s|s|s|s|s
.	s

Współpraca	l|s|s|s|s|s|s|s|s|s
się	s|s|s
rozpoczęła	s|s|s|s|s|s|s|r_ą|r_ć|d
.	s

W	l
mężczyźnie	s|s|s|s|s|s|r_z|s|r_a|d
narasta	s|s|s|s|s|s|s|r_ć
napięcie	s|s|s|s|s|s|s|s
.	s

A	l
ptaki	s|s|s|s|d
jakby	s|s|s|s|s
wymiotło	s|s|s|s|r_e|r_ś|r_ć|d
,	s
najmarniejszego	d|d|d|s|s|s|s|r_y|d|d|d|d|d|d|d
wróbla	s|s|s|s|i_e|d
nie	s|s|s
spotkał	s|s|s|s|s|s|r_ć
eś	r_by|r_ć
.	s

Wszystkie	l|s|s|s|s|s|i_e|d|d
klasztory	s|s|s|s|s|s|s|s|d
i	s
najznakomitsze	d|d|d|s|s|s|s|s|s|s|s|r_y|d|d
rody	s|r_ó|s|d
pozostają	s|s|s|s|s|s|s|r_wa|r_ć
naszymi	s|s|s|s|d|d|d
klientami	s|s|s|s|s|s|d|d|d
.	s

Komputery	l|s|s|s|s|s|s|s|d
podłączone	s|s|s|s|s|s|s|r_y|r_ć|d
do	s|s
Sieci	l|s|s|r_ć|d
mogą	s|r_ó|r_c|d
skorzystać	s|s|s|s|s|s|s|s|s|s
z	s
okna	s|s|s|r_o
zadań	s|s|s|s|r_nie
badawczych	s|s|s|s|s|s|s|s|d|d
.	s

Pozdrawiam	l|s|s|s|s|s|s|s|s|r_ć
maturzystów	s|s|s|s|s|s|s|s|s|r_a|d
.	s

Panie	s|s|s|d|d
,	s
pustynią	s|s|s|s|s|s|s|r_a
odtąd	s|s|s|s|s
władać	s|s|s|s|s|s
będziesz	s|r_y|r_ć|d|d|d|d|d
.	s
.	s
.	s

Ambicje	l|s|s|s|s|s|r_a
polityków	s|s|s|s|s|s|s|d|d
coraz	s|s|s|s|s
mocniej	s|s|s|s|r_o|d|d
ciągną	s|s|s|s|s|s|r_ć
nas	r_m|r_y|d
na	s|s
dno	s|s|s
.	s

Okupując	l|s|s|s|r_o|r_w|r_a|r_ć
wejście	s|s|s|s|s|s|s
,	s
czekały	s|s|s|s|s|r_ć|d
,	s
co	s|s
się	s|s|s
wydarzy	s|s|s|s|s|s|s|r_ć
.	s

Była	l|s|r_ć|d
nietykalna	s|s|s|s|s|s|s|s|s|r_y
,	s
bo	s|s
chroniła	s|s|s|s|s|s|r_ć|d
ją	r_o|r_n
karta	s|s|s|s|s
nauczyciela	s|s|s|s|s|s|s|s|s|s|d
.	s

A	l
wtedy	s|s|s|s|s
zaczął	s|s|s|s|s|r_ć
decydować	s|s|s|s|s|s|s|s|s
za	s|s
nią	i_o|d|d
.	s

Usłyszał	l|s|s|s|s|s|r_e|r_ć
także	s|s|s|s|s
głos	s|s|s|s
Łukasza	s|s|s|s|s|s|d
.	s

Jak	l|s|s
to	s|s
uniesiesz	s|s|s|s|r_ś|r_ć|d|d|d
?	s

Która	l|s|s|s|r_y
gazeta	s|s|s|s|s|s
nie	s|s|s
chce	s|s|s|i_i|r_ć
dziś	s|s|s|s
mieć	s|s|s|s
informacyjnego	s|s|s|s|s|s|s|s|s|s|s|r_y|d|d
hitu	s|s|s|d
?	s

Dużo	l|s|s|s
od	s|s
nas	r_m|r_y|d
starszy	s|s|s|s|d|d|s
,	s
miał	s|s|r_e|r_ć
więcej	s|s|s|s|s|s
doświadczenia	s|s|s|s|s|s|s|s|s|s|s|s|r_e
,	s
ogromną	s|s|s|s|s|s|r_y
charyzmę	s|s|s|s|s|s|s|r_a
i	s
dystans	s|s|s|s|s|s|s
do	s|s
siebie	s|s|s|s|s|s
.	s

Tam	l|s|s
są	r_by|r_ć
również	s|s|s|s|s|s|s
magazyny	s|s|s|s|s|s|s|d
spółdzielni	s|s|s|s|s|s|s|s|s|s|s|r_a
.	s

Małgorzatka	s|s|s|s|s|s|s|s|s|s|s
zbudziła	s|s|s|s|s|s|r_ć|d
się	s|s|s
zlana	s|s|s|r_ć|d
potem	s|s|s|d|d
.	s

-	s
Śmierdzą	l|s|s|s|s|s|s|r_ieć
mi	r_j|r_a
przy	s|s|s|s
jedzeniu	s|s|r_ś|r_ć|d|d|d|d
.	s
.	s
.	s

-	s
Szczęka	l|s|s|s|s|s|s
mi	r_j|r_a
opada	s|s|s|s|s|r_ć
.	s

Może	l|s|s|s
nad	s|s|s
ranem	s|s|s|r_o|d
wróci	s|s|s|s|s|r_ć
do	s|s
hali	s|s|s|r_a
i	s
spróbuje	s|s|s|s|s|r_ow|r_a|r_ć
wydostać	s|s|s|s|s|s|s|s
się	s|s|s
przez	s|s|s|s|s
okno	s|s|s|s
.	s

Przygotowana	l|s|s|s|s|s|s|s|s|s|r_ć|d
na	s|s
najgorsze	r_z|r_ł|r_y|d|d|d|d|d|d
Małgorzata	s|s|s|s|s|s|s|s|s|s
dziwi	s|s|s|s|s|r_ć
się	s|s|s
,	s
że	s|s
list	s|s|s|s
jest	r_b|r_y|r_ć|d
aż	s|s
tak	s|s|s
jałowy	s|s|s|s|s|s
.	s

Patrzę	l|s|s|s|s|r_eć
na	s|s
drzwi	s|s|s|s|s
,	s
bo	s|s
ktoś	s|s|s|s
idzie	s|r_ś|r_ć|d|d
po	s|s
schodach	s|s|s|s|s|r_y|d|d
.	s

-	s
Będzie	l|r_y|r_ć|d|d|d
biegł	s|s|s|r_c|d
od	s|s
zatoczki	s|s|s|s|s|s|s|r_a
autobusowej	s|s|s|s|s|s|s|s|s|r_y|d
przy	s|s|s|s
Sandomierskiej	s|s|s|s|s|s|s|s|s|s|s|s|d|d
do	s|s
budynku	s|s|s|s|s|i_e|d
Urzędu	l|s|s|r_ą|s|d
Gminy	l|s|s|s|r_a
.	s

Chodzi	l|s|s|s|s|s|r_ć
o	s
przedsiębiorstwo	s|s|s|s|s|s|s|s|s|s|s|s|s|s|s|s
z	s
tradycjami	s|s|s|s|s|s|s|s|d|d
,	s
założone	s|s|s|s|s|r_y|r_ć|d
jeszcze	s|s|s|s|s|s|s
przez	s|s|s|s|s
ojca	s|s|s|r_iec
pana	s|s|s|d
Piotra	s|s|s|s|s|d
.	s

Ściany	l|s|s|s|s|r_a
osłonowe	s|s|s|s|s|s|s|r_y
zewnętrzne	s|s|s|s|s|s|s|s|s|r_y
wykonano	s|s|s|s|s|s|r_ć|d
z	s
żywic	s|s|s|s|s|r_a
epoksydowych	s|s|s|s|s|s|s|s|s|s|d|d
.	s

Tym	l|r_e|r_n
razem	s|s|s|d|d
głód	s|s|s|s
został	s|s|s|s|s|r_ć
pokonany	s|s|s|s|s|s|r_ć|d
.	s

Teraz	l|s|s|s|s
nie	s|s|s
umiał	s|s|s|r_e|r_ć
em	r_by|r_ć
.	s

Dzieci	l|s|s|s|s|r_ko
i	s
niektórzy	s|s|s|s|s|s|s|d|s
renciści	s|s|s|s|s|r_s|r_t|r_a
byli	s|s|r_ć|d
by	s|s
